Plant Name,Scientific Name,Forest Type,Peak Season,Height (m),Famous Forest,Soil Type,Land Area Found,City,Region,Unique Fact,Endemic to India,Conservation Status,Medicinal Use,Season,Most Active Time
Sal,Shorea robusta,Mangrove Forest,Winter,40,Western Ghats,Black,Wetlands,Kolkata,East India,Source of sandalwood oil,No,Near Threatened,No,Winter,Day
Banyan,Ficus benghalensis,Montane Forest,Summer,30,Western Ghats,Alluvial,Plains,Bhopal,Central India,Host to diverse epiphytes,No,Least Concern,No,Winter,Both
Banyan,Ficus benghalensis,Tropical Rainforest,Winter,30,Western Ghats,Laterite,Hills,Jaipur,West India,Host to diverse epiphytes,No,Least Concern,Yes,Summer,Both
Sandalwood,Santalum album,Deciduous Forest,Spring,10,Jim Corbett National Park,Sandy,Hills,Kolkata,East India,Fire-resistant bark,Yes,Critically Endangered,No,Winter,Both
Peepal,Ficus religiosa,Montane Forest,Monsoon,25,Jim Corbett National Park,Red,Hills,Hyderabad,South India,Sacred in Hinduism,No,Least Concern,No,Spring,Day
Banyan,Ficus benghalensis,Deciduous Forest,Autumn,30,Jim Corbett National Park,Alluvial,Wetlands,Delhi,North India,Host to diverse epiphytes,No,Least Concern,Yes,Summer,Night
Sandalwood,Santalum album,Deciduous Forest,Summer,10,Jim Corbett National Park,Red,Hills,Shimla,North India,Fire-resistant bark,Yes,Least Concern,Yes,Spring,Day
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Autumn,15,Sundarbans,Red,Riverbanks,Mumbai,West India,Important timber species,No,Critically Endangered,Yes,Summer,Day
Mango,Mangifera indica,Montane Forest,Monsoon,18,Sundarbans,Sandy,Riverbanks,Bangalore,South India,Attracts fruit bats,No,Critically Endangered,Yes,Summer,Day
Banyan,Ficus benghalensis,Tropical Rainforest,Summer,30,Kaziranga,Sandy,Wetlands,Delhi,North India,Host to diverse epiphytes,Yes,Critically Endangered,Yes,Spring,Both
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Autumn,15,Sundarbans,Sandy,Wetlands,Guwahati,Northeast India,Important timber species,No,Critically Endangered,No,Monsoon,Day
Mango,Mangifera indica,Deciduous Forest,Winter,18,Kaziranga,Black,Coastal Areas,Guwahati,Northeast India,Attracts fruit bats,No,Critically Endangered,No,Summer,Both
Sal,Shorea robusta,Dry Thorn Forest,Winter,40,Western Ghats,Sandy,Hills,Shimla,North India,Source of sandalwood oil,Yes,Critically Endangered,Yes,Monsoon,Night
Mango,Mangifera indica,Dry Thorn Forest,Winter,18,Sundarbans,Sandy,Plains,Bhopal,Central India,Attracts fruit bats,No,Least Concern,Yes,Monsoon,Night
Jamun,Syzygium cumini,Mangrove Forest,Summer,22,Sundarbans,Sandy,Riverbanks,Jaipur,West India,National tree of India,Yes,Least Concern,Yes,Summer,Both
Sandalwood,Santalum album,Mangrove Forest,Monsoon,10,Jim Corbett National Park,Laterite,Riverbanks,Bangalore,South India,Fire-resistant bark,No,Least Concern,No,Summer,Both
Neem,Azadirachta indica,Tropical Rainforest,Monsoon,20,Himalayan Forests,Laterite,Plains,Chennai,South India,Used in Ayurveda,No,Least Concern,No,Summer,Day
Sal,Shorea robusta,Deciduous Forest,Spring,40,Himalayan Forests,Black,Riverbanks,Jaipur,West India,Source of sandalwood oil,No,Least Concern,No,Autumn,Both
Teak,Tectona grandis,Dry Thorn Forest,Summer,35,Sundarbans,Red,Wetlands,Hyderabad,South India,High commercial value,No,Least Concern,No,Monsoon,Both
Sal,Shorea robusta,Deciduous Forest,Spring,40,Kaziranga,Sandy,Plains,Bhopal,Central India,Source of sandalwood oil,Yes,Least Concern,Yes,Summer,Night
Rosewood,Dalbergia latifolia,Tropical Rainforest,Winter,15,Himalayan Forests,Laterite,Coastal Areas,Chennai,South India,Important timber species,Yes,Critically Endangered,No,Monsoon,Day
Coconut,Cocos nucifera,Deciduous Forest,Monsoon,12,Western Ghats,Laterite,Riverbanks,Chennai,South India,Used in shipbuilding,No,Near Threatened,Yes,Autumn,Day
Neem,Azadirachta indica,Deciduous Forest,Summer,20,Kaziranga,Laterite,Plains,Jaipur,West India,Used in Ayurveda,Yes,Least Concern,No,Winter,Day
Sal,Shorea robusta,Mangrove Forest,Spring,40,Western Ghats,Red,Coastal Areas,Delhi,North India,Source of sandalwood oil,No,Least Concern,No,Spring,Day
Teak,Tectona grandis,Deciduous Forest,Spring,35,Kaziranga,Laterite,Riverbanks,Bhopal,Central India,High commercial value,Yes,Critically Endangered,No,Summer,Both
Peepal,Ficus religiosa,Mangrove Forest,Summer,25,Kaziranga,Laterite,Coastal Areas,Kolkata,East India,Sacred in Hinduism,No,Critically Endangered,Yes,Winter,Both
Neem,Azadirachta indica,Tropical Rainforest,Spring,20,Himalayan Forests,Sandy,Coastal Areas,Kolkata,East India,Used in Ayurveda,Yes,Least Concern,No,Autumn,Day
Neem,Azadirachta indica,Tropical Rainforest,Autumn,20,Western Ghats,Laterite,Wetlands,Chennai,South India,Used in Ayurveda,Yes,Critically Endangered,No,Summer,Day
Peepal,Ficus religiosa,Tropical Rainforest,Spring,25,Sundarbans,Sandy,Hills,Bhopal,Central India,Sacred in Hinduism,No,Least Concern,Yes,Monsoon,Night
Neem,Azadirachta indica,Mangrove Forest,Spring,20,Kaziranga,Alluvial,Plains,Shimla,North India,Used in Ayurveda,No,Least Concern,No,Summer,Night
Neem,Azadirachta indica,Montane Forest,Autumn,20,Sundarbans,Laterite,Hills,Bangalore,South India,Used in Ayurveda,No,Critically Endangered,Yes,Winter,Both
Banyan,Ficus benghalensis,Dry Thorn Forest,Monsoon,30,Jim Corbett National Park,Alluvial,Riverbanks,Bangalore,South India,Host to diverse epiphytes,Yes,Least Concern,Yes,Spring,Night
Banyan,Ficus benghalensis,Tropical Rainforest,Monsoon,30,Jim Corbett National Park,Sandy,Coastal Areas,Jaipur,West India,Host to diverse epiphytes,Yes,Near Threatened,Yes,Autumn,Both
Jamun,Syzygium cumini,Montane Forest,Autumn,22,Kaziranga,Sandy,Wetlands,Delhi,North India,National tree of India,Yes,Least Concern,No,Monsoon,Both
Coconut,Cocos nucifera,Montane Forest,Spring,12,Western Ghats,Laterite,Wetlands,Guwahati,Northeast India,Used in shipbuilding,No,Least Concern,No,Summer,Both
Sal,Shorea robusta,Montane Forest,Autumn,40,Jim Corbett National Park,Black,Wetlands,Jaipur,West India,Source of sandalwood oil,Yes,Least Concern,No,Summer,Day
Sal,Shorea robusta,Tropical Rainforest,Monsoon,40,Kaziranga,Red,Coastal Areas,Kolkata,East India,Source of sandalwood oil,No,Least Concern,No,Autumn,Night
Neem,Azadirachta indica,Montane Forest,Summer,20,Western Ghats,Laterite,Coastal Areas,Chennai,South India,Used in Ayurveda,Yes,Critically Endangered,Yes,Winter,Night
Sandalwood,Santalum album,Dry Thorn Forest,Spring,10,Sundarbans,Red,Wetlands,Jaipur,West India,Fire-resistant bark,Yes,Critically Endangered,No,Autumn,Night
Jamun,Syzygium cumini,Deciduous Forest,Monsoon,22,Kaziranga,Laterite,Plains,Guwahati,Northeast India,National tree of India,Yes,Critically Endangered,Yes,Monsoon,Night
Banyan,Ficus benghalensis,Montane Forest,Spring,30,Himalayan Forests,Black,Plains,Bhopal,Central India,Host to diverse epiphytes,No,Least Concern,Yes,Spring,Both
Banyan,Ficus benghalensis,Montane Forest,Summer,30,Jim Corbett National Park,Laterite,Wetlands,Guwahati,Northeast India,Host to diverse epiphytes,No,Least Concern,Yes,Monsoon,Night
Peepal,Ficus religiosa,Dry Thorn Forest,Autumn,25,Western Ghats,Black,Hills,Bhopal,Central India,Sacred in Hinduism,No,Least Concern,Yes,Winter,Night
Sandalwood,Santalum album,Tropical Rainforest,Summer,10,Sundarbans,Alluvial,Hills,Bangalore,South India,Fire-resistant bark,Yes,Near Threatened,Yes,Spring,Night
Teak,Tectona grandis,Mangrove Forest,Autumn,35,Kaziranga,Red,Coastal Areas,Guwahati,Northeast India,High commercial value,No,Least Concern,Yes,Spring,Day
Teak,Tectona grandis,Mangrove Forest,Summer,35,Jim Corbett National Park,Sandy,Riverbanks,Kolkata,East India,High commercial value,Yes,Least Concern,No,Spring,Both
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Summer,15,Sundarbans,Laterite,Plains,Bangalore,South India,Important timber species,No,Least Concern,Yes,Spring,Night
Mango,Mangifera indica,Mangrove Forest,Monsoon,18,Himalayan Forests,Red,Riverbanks,Mumbai,West India,Attracts fruit bats,No,Near Threatened,Yes,Winter,Both
Sandalwood,Santalum album,Montane Forest,Spring,10,Himalayan Forests,Red,Plains,Bangalore,South India,Fire-resistant bark,No,Least Concern,Yes,Monsoon,Day
Sandalwood,Santalum album,Deciduous Forest,Monsoon,10,Jim Corbett National Park,Alluvial,Coastal Areas,Hyderabad,South India,Fire-resistant bark,Yes,Critically Endangered,No,Monsoon,Both
Neem,Azadirachta indica,Montane Forest,Winter,20,Western Ghats,Laterite,Plains,Bhopal,Central India,Used in Ayurveda,No,Least Concern,Yes,Spring,Night
Teak,Tectona grandis,Tropical Rainforest,Summer,35,Himalayan Forests,Sandy,Riverbanks,Chennai,South India,High commercial value,No,Least Concern,No,Monsoon,Day
Teak,Tectona grandis,Tropical Rainforest,Autumn,35,Jim Corbett National Park,Alluvial,Hills,Bangalore,South India,High commercial value,No,Near Threatened,Yes,Spring,Day
Coconut,Cocos nucifera,Mangrove Forest,Autumn,12,Western Ghats,Red,Coastal Areas,Shimla,North India,Used in shipbuilding,No,Near Threatened,No,Winter,Both
Banyan,Ficus benghalensis,Tropical Rainforest,Winter,30,Western Ghats,Laterite,Plains,Bhopal,Central India,Host to diverse epiphytes,No,Least Concern,No,Spring,Both
Mango,Mangifera indica,Dry Thorn Forest,Winter,18,Sundarbans,Red,Wetlands,Bangalore,South India,Attracts fruit bats,No,Least Concern,Yes,Monsoon,Day
Jamun,Syzygium cumini,Deciduous Forest,Winter,22,Himalayan Forests,Alluvial,Wetlands,Bangalore,South India,National tree of India,No,Least Concern,Yes,Autumn,Both
Sal,Shorea robusta,Montane Forest,Winter,40,Kaziranga,Sandy,Coastal Areas,Mumbai,West India,Source of sandalwood oil,No,Least Concern,Yes,Monsoon,Night
Jamun,Syzygium cumini,Dry Thorn Forest,Spring,22,Kaziranga,Black,Coastal Areas,Mumbai,West India,National tree of India,No,Least Concern,No,Monsoon,Night
Banyan,Ficus benghalensis,Montane Forest,Autumn,30,Sundarbans,Laterite,Riverbanks,Hyderabad,South India,Host to diverse epiphytes,Yes,Least Concern,Yes,Spring,Both
Peepal,Ficus religiosa,Tropical Rainforest,Autumn,25,Jim Corbett National Park,Sandy,Riverbanks,Shimla,North India,Sacred in Hinduism,Yes,Near Threatened,No,Autumn,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Monsoon,15,Kaziranga,Alluvial,Coastal Areas,Delhi,North India,Important timber species,No,Least Concern,No,Summer,Both
Coconut,Cocos nucifera,Montane Forest,Spring,12,Himalayan Forests,Sandy,Plains,Hyderabad,South India,Used in shipbuilding,No,Near Threatened,No,Winter,Day
Neem,Azadirachta indica,Dry Thorn Forest,Summer,20,Kaziranga,Red,Hills,Delhi,North India,Used in Ayurveda,Yes,Critically Endangered,Yes,Summer,Day
Coconut,Cocos nucifera,Montane Forest,Summer,12,Sundarbans,Black,Hills,Bangalore,South India,Used in shipbuilding,No,Least Concern,Yes,Monsoon,Night
Jamun,Syzygium cumini,Tropical Rainforest,Monsoon,22,Himalayan Forests,Red,Plains,Hyderabad,South India,National tree of India,No,Least Concern,No,Summer,Night
Jamun,Syzygium cumini,Deciduous Forest,Monsoon,22,Himalayan Forests,Laterite,Plains,Kolkata,East India,National tree of India,No,Near Threatened,No,Summer,Night
Sal,Shorea robusta,Dry Thorn Forest,Winter,40,Kaziranga,Alluvial,Plains,Jaipur,West India,Source of sandalwood oil,Yes,Least Concern,No,Spring,Day
Jamun,Syzygium cumini,Mangrove Forest,Autumn,22,Western Ghats,Alluvial,Coastal Areas,Mumbai,West India,National tree of India,No,Least Concern,Yes,Autumn,Both
Mango,Mangifera indica,Deciduous Forest,Monsoon,18,Sundarbans,Red,Hills,Chennai,South India,Attracts fruit bats,Yes,Critically Endangered,Yes,Spring,Day
Neem,Azadirachta indica,Montane Forest,Autumn,20,Kaziranga,Sandy,Hills,Kolkata,East India,Used in Ayurveda,No,Near Threatened,Yes,Autumn,Night
Banyan,Ficus benghalensis,Montane Forest,Autumn,30,Himalayan Forests,Black,Riverbanks,Delhi,North India,Host to diverse epiphytes,No,Least Concern,No,Summer,Day
Coconut,Cocos nucifera,Mangrove Forest,Summer,12,Sundarbans,Sandy,Hills,Bhopal,Central India,Used in shipbuilding,No,Least Concern,Yes,Spring,Both
Coconut,Cocos nucifera,Tropical Rainforest,Monsoon,12,Sundarbans,Sandy,Wetlands,Delhi,North India,Used in shipbuilding,No,Critically Endangered,Yes,Monsoon,Both
Neem,Azadirachta indica,Deciduous Forest,Winter,20,Jim Corbett National Park,Black,Riverbanks,Bangalore,South India,Used in Ayurveda,No,Critically Endangered,Yes,Summer,Day
Banyan,Ficus benghalensis,Tropical Rainforest,Autumn,30,Kaziranga,Alluvial,Hills,Guwahati,Northeast India,Host to diverse epiphytes,No,Critically Endangered,Yes,Monsoon,Both
Sal,Shorea robusta,Mangrove Forest,Spring,40,Western Ghats,Laterite,Riverbanks,Mumbai,West India,Source of sandalwood oil,No,Least Concern,No,Autumn,Night
Peepal,Ficus religiosa,Tropical Rainforest,Summer,25,Western Ghats,Black,Plains,Mumbai,West India,Sacred in Hinduism,No,Critically Endangered,Yes,Monsoon,Day
Rosewood,Dalbergia latifolia,Deciduous Forest,Summer,15,Himalayan Forests,Sandy,Hills,Delhi,North India,Important timber species,No,Critically Endangered,Yes,Monsoon,Both
Teak,Tectona grandis,Mangrove Forest,Summer,35,Jim Corbett National Park,Alluvial,Coastal Areas,Bhopal,Central India,High commercial value,No,Critically Endangered,No,Winter,Day
Neem,Azadirachta indica,Montane Forest,Spring,20,Western Ghats,Black,Hills,Mumbai,West India,Used in Ayurveda,Yes,Least Concern,No,Spring,Night
Coconut,Cocos nucifera,Mangrove Forest,Winter,12,Sundarbans,Red,Riverbanks,Kolkata,East India,Used in shipbuilding,No,Least Concern,No,Monsoon,Night
Sandalwood,Santalum album,Mangrove Forest,Monsoon,10,Kaziranga,Sandy,Hills,Delhi,North India,Fire-resistant bark,Yes,Near Threatened,No,Summer,Both
Jamun,Syzygium cumini,Deciduous Forest,Summer,22,Jim Corbett National Park,Laterite,Hills,Delhi,North India,National tree of India,No,Least Concern,Yes,Monsoon,Night
Jamun,Syzygium cumini,Mangrove Forest,Monsoon,22,Himalayan Forests,Sandy,Coastal Areas,Shimla,North India,National tree of India,No,Near Threatened,No,Monsoon,Both
Rosewood,Dalbergia latifolia,Mangrove Forest,Autumn,15,Jim Corbett National Park,Laterite,Hills,Bangalore,South India,Important timber species,No,Critically Endangered,Yes,Winter,Day
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Western Ghats,Sandy,Coastal Areas,Kolkata,East India,Host to diverse epiphytes,No,Least Concern,No,Spring,Day
Peepal,Ficus religiosa,Montane Forest,Winter,25,Himalayan Forests,Laterite,Riverbanks,Chennai,South India,Sacred in Hinduism,Yes,Near Threatened,Yes,Monsoon,Day
Neem,Azadirachta indica,Montane Forest,Winter,20,Kaziranga,Red,Hills,Delhi,North India,Used in Ayurveda,No,Least Concern,No,Spring,Both
Mango,Mangifera indica,Mangrove Forest,Winter,18,Kaziranga,Laterite,Wetlands,Mumbai,West India,Attracts fruit bats,Yes,Least Concern,No,Spring,Both
Teak,Tectona grandis,Dry Thorn Forest,Monsoon,35,Kaziranga,Laterite,Plains,Guwahati,Northeast India,High commercial value,No,Least Concern,Yes,Monsoon,Both
Peepal,Ficus religiosa,Mangrove Forest,Autumn,25,Jim Corbett National Park,Red,Wetlands,Mumbai,West India,Sacred in Hinduism,Yes,Least Concern,No,Spring,Day
Neem,Azadirachta indica,Tropical Rainforest,Spring,20,Kaziranga,Sandy,Hills,Bangalore,South India,Used in Ayurveda,No,Near Threatened,No,Summer,Day
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Sundarbans,Laterite,Riverbanks,Delhi,North India,National tree of India,No,Least Concern,No,Monsoon,Day
Sal,Shorea robusta,Dry Thorn Forest,Winter,40,Himalayan Forests,Red,Plains,Delhi,North India,Source of sandalwood oil,Yes,Critically Endangered,Yes,Spring,Day
Sal,Shorea robusta,Dry Thorn Forest,Monsoon,40,Sundarbans,Laterite,Plains,Bhopal,Central India,Source of sandalwood oil,Yes,Least Concern,Yes,Summer,Day
Jamun,Syzygium cumini,Montane Forest,Spring,22,Jim Corbett National Park,Laterite,Wetlands,Mumbai,West India,National tree of India,No,Near Threatened,Yes,Summer,Both
Banyan,Ficus benghalensis,Mangrove Forest,Autumn,30,Sundarbans,Alluvial,Plains,Bangalore,South India,Host to diverse epiphytes,No,Critically Endangered,Yes,Monsoon,Day
Sal,Shorea robusta,Deciduous Forest,Monsoon,40,Kaziranga,Sandy,Hills,Mumbai,West India,Source of sandalwood oil,No,Least Concern,No,Monsoon,Night
Coconut,Cocos nucifera,Dry Thorn Forest,Monsoon,12,Western Ghats,Sandy,Wetlands,Mumbai,West India,Used in shipbuilding,No,Least Concern,No,Monsoon,Both
Jamun,Syzygium cumini,Tropical Rainforest,Autumn,22,Sundarbans,Sandy,Coastal Areas,Jaipur,West India,National tree of India,Yes,Least Concern,Yes,Autumn,Day
Teak,Tectona grandis,Mangrove Forest,Monsoon,35,Himalayan Forests,Red,Wetlands,Shimla,North India,High commercial value,No,Critically Endangered,Yes,Winter,Both
Teak,Tectona grandis,Mangrove Forest,Summer,35,Sundarbans,Alluvial,Coastal Areas,Kolkata,East India,High commercial value,No,Least Concern,Yes,Winter,Day
Teak,Tectona grandis,Tropical Rainforest,Winter,35,Western Ghats,Alluvial,Wetlands,Hyderabad,South India,High commercial value,Yes,Critically Endangered,No,Monsoon,Both
Mango,Mangifera indica,Mangrove Forest,Summer,18,Himalayan Forests,Alluvial,Plains,Jaipur,West India,Attracts fruit bats,Yes,Critically Endangered,No,Winter,Night
Neem,Azadirachta indica,Dry Thorn Forest,Monsoon,20,Kaziranga,Laterite,Hills,Mumbai,West India,Used in Ayurveda,Yes,Least Concern,No,Autumn,Day
Teak,Tectona grandis,Dry Thorn Forest,Summer,35,Sundarbans,Sandy,Wetlands,Kolkata,East India,High commercial value,No,Least Concern,Yes,Autumn,Both
Rosewood,Dalbergia latifolia,Dry Thorn Forest,Monsoon,15,Sundarbans,Laterite,Coastal Areas,Bangalore,South India,Important timber species,Yes,Near Threatened,No,Winter,Night
Coconut,Cocos nucifera,Dry Thorn Forest,Monsoon,12,Western Ghats,Black,Coastal Areas,Kolkata,East India,Used in shipbuilding,No,Near Threatened,No,Winter,Night
Peepal,Ficus religiosa,Montane Forest,Summer,25,Jim Corbett National Park,Sandy,Wetlands,Delhi,North India,Sacred in Hinduism,No,Critically Endangered,No,Summer,Both
Rosewood,Dalbergia latifolia,Tropical Rainforest,Spring,15,Western Ghats,Alluvial,Hills,Guwahati,Northeast India,Important timber species,No,Least Concern,Yes,Spring,Day
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Jim Corbett National Park,Red,Coastal Areas,Shimla,North India,Host to diverse epiphytes,No,Near Threatened,Yes,Spring,Both
Neem,Azadirachta indica,Mangrove Forest,Winter,20,Kaziranga,Laterite,Plains,Jaipur,West India,Used in Ayurveda,Yes,Least Concern,Yes,Summer,Night
Jamun,Syzygium cumini,Mangrove Forest,Summer,22,Sundarbans,Red,Riverbanks,Bangalore,South India,National tree of India,Yes,Near Threatened,No,Summer,Both
Neem,Azadirachta indica,Dry Thorn Forest,Monsoon,20,Jim Corbett National Park,Laterite,Coastal Areas,Hyderabad,South India,Used in Ayurveda,No,Critically Endangered,Yes,Summer,Night
Mango,Mangifera indica,Mangrove Forest,Spring,18,Jim Corbett National Park,Laterite,Riverbanks,Hyderabad,South India,Attracts fruit bats,No,Least Concern,No,Autumn,Both
Peepal,Ficus religiosa,Montane Forest,Spring,25,Western Ghats,Red,Wetlands,Hyderabad,South India,Sacred in Hinduism,Yes,Least Concern,No,Summer,Both
Banyan,Ficus benghalensis,Tropical Rainforest,Winter,30,Western Ghats,Laterite,Hills,Bangalore,South India,Host to diverse epiphytes,Yes,Critically Endangered,No,Spring,Both
Peepal,Ficus religiosa,Tropical Rainforest,Spring,25,Western Ghats,Black,Plains,Bhopal,Central India,Sacred in Hinduism,Yes,Near Threatened,Yes,Winter,Day
Jamun,Syzygium cumini,Montane Forest,Winter,22,Western Ghats,Black,Riverbanks,Jaipur,West India,National tree of India,No,Critically Endangered,No,Spring,Day
Rosewood,Dalbergia latifolia,Tropical Rainforest,Autumn,15,Himalayan Forests,Alluvial,Coastal Areas,Shimla,North India,Important timber species,Yes,Least Concern,Yes,Monsoon,Both
Rosewood,Dalbergia latifolia,Deciduous Forest,Winter,15,Jim Corbett National Park,Laterite,Riverbanks,Bangalore,South India,Important timber species,No,Least Concern,Yes,Winter,Day
Peepal,Ficus religiosa,Dry Thorn Forest,Winter,25,Kaziranga,Sandy,Hills,Mumbai,West India,Sacred in Hinduism,No,Critically Endangered,No,Summer,Day
Banyan,Ficus benghalensis,Deciduous Forest,Winter,30,Kaziranga,Red,Wetlands,Kolkata,East India,Host to diverse epiphytes,No,Least Concern,No,Autumn,Night
Sandalwood,Santalum album,Tropical Rainforest,Winter,10,Western Ghats,Sandy,Wetlands,Bangalore,South India,Fire-resistant bark,No,Near Threatened,No,Summer,Both
Coconut,Cocos nucifera,Montane Forest,Spring,12,Himalayan Forests,Black,Hills,Mumbai,West India,Used in shipbuilding,No,Critically Endangered,Yes,Winter,Both
Peepal,Ficus religiosa,Tropical Rainforest,Winter,25,Kaziranga,Laterite,Coastal Areas,Guwahati,Northeast India,Sacred in Hinduism,Yes,Critically Endangered,No,Winter,Both
Sandalwood,Santalum album,Montane Forest,Monsoon,10,Western Ghats,Alluvial,Riverbanks,Chennai,South India,Fire-resistant bark,No,Near Threatened,No,Autumn,Night
Neem,Azadirachta indica,Mangrove Forest,Summer,20,Jim Corbett National Park,Alluvial,Hills,Guwahati,Northeast India,Used in Ayurveda,No,Least Concern,Yes,Monsoon,Night
Coconut,Cocos nucifera,Montane Forest,Winter,12,Himalayan Forests,Red,Coastal Areas,Guwahati,Northeast India,Used in shipbuilding,No,Least Concern,No,Autumn,Day
Mango,Mangifera indica,Dry Thorn Forest,Summer,18,Kaziranga,Alluvial,Hills,Jaipur,West India,Attracts fruit bats,No,Least Concern,Yes,Monsoon,Day
Sandalwood,Santalum album,Montane Forest,Autumn,10,Kaziranga,Red,Hills,Delhi,North India,Fire-resistant bark,No,Near Threatened,No,Autumn,Day
Banyan,Ficus benghalensis,Tropical Rainforest,Summer,30,Kaziranga,Black,Wetlands,Bangalore,South India,Host to diverse epiphytes,No,Least Concern,Yes,Autumn,Day
Banyan,Ficus benghalensis,Tropical Rainforest,Summer,30,Jim Corbett National Park,Red,Wetlands,Jaipur,West India,Host to diverse epiphytes,No,Least Concern,No,Autumn,Night
Sandalwood,Santalum album,Montane Forest,Summer,10,Himalayan Forests,Red,Wetlands,Hyderabad,South India,Fire-resistant bark,No,Least Concern,Yes,Autumn,Night
Rosewood,Dalbergia latifolia,Deciduous Forest,Winter,15,Western Ghats,Black,Hills,Chennai,South India,Important timber species,No,Least Concern,Yes,Winter,Both
Neem,Azadirachta indica,Deciduous Forest,Autumn,20,Sundarbans,Red,Hills,Chennai,South India,Used in Ayurveda,No,Near Threatened,Yes,Summer,Night
Neem,Azadirachta indica,Tropical Rainforest,Monsoon,20,Sundarbans,Red,Hills,Guwahati,Northeast India,Used in Ayurveda,No,Near Threatened,Yes,Monsoon,Night
Coconut,Cocos nucifera,Montane Forest,Spring,12,Himalayan Forests,Black,Plains,Hyderabad,South India,Used in shipbuilding,No,Least Concern,No,Winter,Night
Neem,Azadirachta indica,Montane Forest,Summer,20,Kaziranga,Black,Riverbanks,Hyderabad,South India,Used in Ayurveda,Yes,Critically Endangered,Yes,Winter,Both
Jamun,Syzygium cumini,Montane Forest,Spring,22,Jim Corbett National Park,Red,Riverbanks,Hyderabad,South India,National tree of India,Yes,Least Concern,Yes,Summer,Day
Jamun,Syzygium cumini,Tropical Rainforest,Monsoon,22,Kaziranga,Sandy,Coastal Areas,Hyderabad,South India,National tree of India,Yes,Least Concern,Yes,Monsoon,Night
Coconut,Cocos nucifera,Tropical Rainforest,Autumn,12,Western Ghats,Sandy,Plains,Shimla,North India,Used in shipbuilding,Yes,Least Concern,Yes,Monsoon,Both
Peepal,Ficus religiosa,Dry Thorn Forest,Spring,25,Western Ghats,Laterite,Hills,Chennai,South India,Sacred in Hinduism,No,Least Concern,Yes,Spring,Both
Banyan,Ficus benghalensis,Dry Thorn Forest,Spring,30,Himalayan Forests,Red,Hills,Hyderabad,South India,Host to diverse epiphytes,No,Least Concern,No,Autumn,Both
Coconut,Cocos nucifera,Mangrove Forest,Autumn,12,Sundarbans,Red,Plains,Mumbai,West India,Used in shipbuilding,Yes,Near Threatened,Yes,Monsoon,Both
Banyan,Ficus benghalensis,Dry Thorn Forest,Autumn,30,Jim Corbett National Park,Sandy,Hills,Chennai,South India,Host to diverse epiphytes,Yes,Critically Endangered,Yes,Summer,Night
Coconut,Cocos nucifera,Montane Forest,Summer,12,Jim Corbett National Park,Alluvial,Coastal Areas,Guwahati,Northeast India,Used in shipbuilding,No,Least Concern,No,Monsoon,Both
Teak,Tectona grandis,Tropical Rainforest,Summer,35,Sundarbans,Black,Riverbanks,Delhi,North India,High commercial value,Yes,Critically Endangered,Yes,Autumn,Day
Sandalwood,Santalum album,Mangrove Forest,Summer,10,Sundarbans,Red,Coastal Areas,Bangalore,South India,Fire-resistant bark,Yes,Least Concern,Yes,Spring,Day
Coconut,Cocos nucifera,Montane Forest,Monsoon,12,Western Ghats,Red,Wetlands,Delhi,North India,Used in shipbuilding,Yes,Near Threatened,Yes,Autumn,Both
Rosewood,Dalbergia latifolia,Tropical Rainforest,Spring,15,Jim Corbett National Park,Sandy,Hills,Chennai,South India,Important timber species,No,Critically Endangered,No,Winter,Both
Sandalwood,Santalum album,Dry Thorn Forest,Spring,10,Kaziranga,Alluvial,Hills,Kolkata,East India,Fire-resistant bark,No,Least Concern,Yes,Spring,Night
Mango,Mangifera indica,Tropical Rainforest,Monsoon,18,Himalayan Forests,Red,Hills,Jaipur,West India,Attracts fruit bats,No,Least Concern,No,Autumn,Night
Sandalwood,Santalum album,Tropical Rainforest,Winter,10,Western Ghats,Laterite,Hills,Hyderabad,South India,Fire-resistant bark,Yes,Near Threatened,No,Spring,Night
Teak,Tectona grandis,Tropical Rainforest,Spring,35,Kaziranga,Laterite,Wetlands,Mumbai,West India,High commercial value,Yes,Least Concern,Yes,Monsoon,Both
Jamun,Syzygium cumini,Mangrove Forest,Winter,22,Western Ghats,Laterite,Hills,Hyderabad,South India,National tree of India,Yes,Least Concern,No,Winter,Day
Banyan,Ficus benghalensis,Tropical Rainforest,Autumn,30,Western Ghats,Alluvial,Hills,Bhopal,Central India,Host to diverse epiphytes,No,Least Concern,Yes,Autumn,Both
Neem,Azadirachta indica,Tropical Rainforest,Spring,20,Kaziranga,Alluvial,Plains,Jaipur,West India,Used in Ayurveda,No,Least Concern,Yes,Winter,Both
Rosewood,Dalbergia latifolia,Deciduous Forest,Winter,15,Kaziranga,Black,Wetlands,Jaipur,West India,Important timber species,Yes,Near Threatened,No,Summer,Night
Rosewood,Dalbergia latifolia,Deciduous Forest,Spring,15,Sundarbans,Black,Hills,Chennai,South India,Important timber species,No,Near Threatened,Yes,Autumn,Night
