name,city,forest,Season,active,Famous Forest for It,Food,Preferred Shelter Type,Unique Fact,Endemic Status,Conservation Status
Indian Star Tortoise,Kolkata,Himalayan Forest,monsoon,night,Ranthambore National Park,Omnivore,Dense Trees,The only lion species found outside Africa.,No,
Indian Cobra,Dehradun,Deciduous Forest,winter,night,Nagarhole National Park,Insectivore,Grasslands,"Hunts in packs, similar to African wild dogs.",No,
Indian Elephant,Lucknow,Himalayan Forest,monsoon,morning,Bandhavgarh National Park,Insectivore,Dense Trees,Recognizable by its golden fur.,No,
Golden Langur,Bengaluru,Himalayan Forest,monsoon,night,Ranthambore National Park,Herbivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Golden Langur,Guwahati,Thorn Forest,monsoon,morning,Bandhavgarh National Park,Omnivore,Dense Trees,Recognizable by its golden fur.,No,
Asiatic Lion,Delhi,Thorn Forest,winter,morning,Periyar Wildlife Sanctuary,Insectivore,Dense Trees,Largest species of wild cattle.,No,Critically Endangered
Red Panda,Lucknow,Deciduous Forest,winter,afternoon,Periyar Wildlife Sanctuary,Carnivore,Dense Trees,Has the strongest bite force among big cats.,No,
Indian Wolf,Ranchi,Mangrove,summer,afternoon,Ranthambore National Park,Carnivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,
Sloth Bear,Bhopal,Tropical Rainforest,monsoon,afternoon,Periyar Wildlife Sanctuary,Omnivore,Grasslands,The longest venomous snake in the world.,No,Near Threatened
Bengal Tiger,Ranchi,Himalayan Forest,monsoon,night,Kanha National Park,Omnivore,Burrows,Can leap over 20 feet in a single bound.,No,
Indian Elephant,Chennai,Mangrove,summer,afternoon,Nagarhole National Park,Carnivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,
Gaur,Nagpur,Thorn Forest,summer,night,Gir Forest,Carnivore,Grasslands,"Can weigh up to 2,200 kg.",No,
King Cobra,Bengaluru,Thorn Forest,monsoon,night,Jim Corbett National Park,Omnivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Bengal Tiger,Jaipur,Himalayan Forest,monsoon,night,Kaziranga National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,
Bengal Tiger,Ranchi,Thorn Forest,summer,night,Jim Corbett National Park,Herbivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Blackbuck,Nagpur,Thorn Forest,monsoon,afternoon,Ranthambore National Park,Omnivore,Rocky Terrain,The only lion species found outside Africa.,No,Least Concern
Gaur,Shimla,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Water Bodies,Can communicate using low-frequency rumbles.,No,
Bengal Tiger,Dehradun,Thorn Forest,monsoon,night,Ranthambore National Park,Insectivore,Water Bodies,"Can weigh up to 2,200 kg.",No,
Blackbuck,Jaipur,Deciduous Forest,monsoon,night,Jim Corbett National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,Least Concern
Blackbuck,Jaipur,Deciduous Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Omnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,Least Concern
Snow Leopard,Chennai,Himalayan Forest,summer,night,Ranthambore National Park,Herbivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Bengal Tiger,Bengaluru,Deciduous Forest,winter,night,Kanha National Park,Insectivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,
Indian Star Tortoise,Bhopal,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Caves,"Hunts in packs, similar to African wild dogs.",No,
Gaur,Dehradun,Thorn Forest,summer,night,Gir Forest,Carnivore,Burrows,Can leap over 20 feet in a single bound.,No,
Indian Cobra,Nagpur,Himalayan Forest,monsoon,morning,Nagarhole National Park,Carnivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Indian Leopard,Bhopal,Thorn Forest,monsoon,night,Nagarhole National Park,Insectivore,Burrows,"Can weigh up to 2,200 kg.",No,Near Threatened
Golden Langur,Jaipur,Tropical Rainforest,summer,morning,Ranthambore National Park,Carnivore,Water Bodies,Has the strongest bite force among big cats.,No,
Asiatic Lion,Bhopal,Thorn Forest,winter,afternoon,Bandhavgarh National Park,Omnivore,Grasslands,Recognizable by its golden fur.,No,Critically Endangered
One-Horned Rhinoceros,Chennai,Thorn Forest,winter,night,Nagarhole National Park,Insectivore,Grasslands,Its venom is neurotoxic and highly potent.,No,Near Threatened
Asiatic Lion,Delhi,Tropical Rainforest,winter,night,Ranthambore National Park,Carnivore,Caves,The only lion species found outside Africa.,No,Critically Endangered
Indian Star Tortoise,Bhopal,Tropical Rainforest,winter,night,Jim Corbett National Park,Herbivore,Burrows,"Can weigh up to 2,200 kg.",No,
Snow Leopard,Kolkata,Tropical Rainforest,monsoon,night,Jim Corbett National Park,Herbivore,Dense Trees,Survives in extreme cold temperatures.,No,
Snow Leopard,Delhi,Tropical Rainforest,monsoon,night,Hemis National Park,Carnivore,Dense Trees,The longest venomous snake in the world.,No,
One-Horned Rhinoceros,Kolkata,Himalayan Forest,summer,night,Kanha National Park,Insectivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Near Threatened
Asiatic Lion,Lucknow,Tropical Rainforest,summer,morning,Gir Forest,Herbivore,Caves,Can communicate using low-frequency rumbles.,No,Critically Endangered
Blackbuck,Chennai,Thorn Forest,summer,night,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,Survives in extreme cold temperatures.,No,Least Concern
Asiatic Lion,Hyderabad,Himalayan Forest,summer,morning,Bandhavgarh National Park,Carnivore,Dense Trees,Recognizable by its golden fur.,No,Critically Endangered
King Cobra,Jaipur,Deciduous Forest,summer,afternoon,Gir Forest,Insectivore,Dense Trees,The only lion species found outside Africa.,No,
Gaur,Bhopal,Himalayan Forest,monsoon,afternoon,Ranthambore National Park,Omnivore,Dense Trees,Recognizable by its golden fur.,No,
Red Panda,Lucknow,Tropical Rainforest,monsoon,afternoon,Kaziranga National Park,Herbivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Red Panda,Lucknow,Thorn Forest,monsoon,night,Jim Corbett National Park,Insectivore,Caves,Can run at speeds of up to 80 km/h.,No,
Golden Langur,Hyderabad,Deciduous Forest,winter,night,Sundarbans,Carnivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,
King Cobra,Kolkata,Tropical Rainforest,winter,night,Kaziranga National Park,Insectivore,Caves,Can leap over 20 feet in a single bound.,No,
Gaur,Guwahati,Mangrove,monsoon,night,Hemis National Park,Omnivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Indian Cobra,Mumbai,Deciduous Forest,summer,night,Periyar Wildlife Sanctuary,Omnivore,Grasslands,Recognizable by its golden fur.,No,
Indian Cobra,Chennai,Himalayan Forest,monsoon,afternoon,Jim Corbett National Park,Insectivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Bengal Tiger,Kolkata,Tropical Rainforest,monsoon,night,Jim Corbett National Park,Herbivore,Water Bodies,Survives in extreme cold temperatures.,No,
Indian Elephant,Hyderabad,Tropical Rainforest,summer,night,Sundarbans,Carnivore,Water Bodies,Can communicate using low-frequency rumbles.,No,
Sloth Bear,Chennai,Himalayan Forest,monsoon,morning,Kaziranga National Park,Carnivore,Water Bodies,Recognizable by its golden fur.,No,Near Threatened
Gaur,Guwahati,Deciduous Forest,summer,afternoon,Jim Corbett National Park,Omnivore,Caves,"Can weigh up to 2,200 kg.",No,
One-Horned Rhinoceros,Mumbai,Mangrove,summer,night,Bandhavgarh National Park,Omnivore,Dense Trees,Survives in extreme cold temperatures.,No,Near Threatened
Indian Leopard,Bengaluru,Himalayan Forest,monsoon,night,Sundarbans,Omnivore,Burrows,Can communicate using low-frequency rumbles.,No,Near Threatened
One-Horned Rhinoceros,Lucknow,Himalayan Forest,winter,morning,Sundarbans,Carnivore,Burrows,Can communicate using low-frequency rumbles.,No,Near Threatened
Blackbuck,Kolkata,Thorn Forest,summer,night,Ranthambore National Park,Omnivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,Least Concern
Red Panda,Dehradun,Mangrove,monsoon,night,Bandhavgarh National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Asiatic Lion,Chennai,Himalayan Forest,monsoon,morning,Kanha National Park,Carnivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,Critically Endangered
Asiatic Lion,Delhi,Mangrove,monsoon,morning,Ranthambore National Park,Omnivore,Caves,Recognizable by its golden fur.,No,Critically Endangered
Asiatic Lion,Shimla,Thorn Forest,monsoon,morning,Nagarhole National Park,Insectivore,Grasslands,"Can weigh up to 2,200 kg.",No,Critically Endangered
Red Panda,Mumbai,Himalayan Forest,winter,afternoon,Ranthambore National Park,Omnivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Indian Leopard,Bengaluru,Deciduous Forest,summer,night,Kanha National Park,Omnivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Indian Star Tortoise,Bhopal,Himalayan Forest,monsoon,afternoon,Ranthambore National Park,Omnivore,Dense Trees,Can communicate using low-frequency rumbles.,No,
Red Panda,Dehradun,Thorn Forest,monsoon,night,Kanha National Park,Herbivore,Burrows,The only lion species found outside Africa.,No,
Indian Star Tortoise,Chennai,Himalayan Forest,summer,afternoon,Ranthambore National Park,Omnivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Golden Langur,Hyderabad,Himalayan Forest,winter,morning,Sundarbans,Herbivore,Caves,Survives in extreme cold temperatures.,No,
Snow Leopard,Lucknow,Himalayan Forest,monsoon,morning,Hemis National Park,Carnivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,
Indian Star Tortoise,Nagpur,Tropical Rainforest,monsoon,night,Kanha National Park,Carnivore,Rocky Terrain,Largest species of wild cattle.,No,
Indian Elephant,Ranchi,Deciduous Forest,summer,morning,Gir Forest,Omnivore,Water Bodies,The only lion species found outside Africa.,No,
Sloth Bear,Guwahati,Himalayan Forest,winter,night,Hemis National Park,Insectivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Near Threatened
Asiatic Lion,Lucknow,Mangrove,monsoon,night,Nagarhole National Park,Omnivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,Critically Endangered
Indian Star Tortoise,Chennai,Mangrove,monsoon,afternoon,Gir Forest,Omnivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,
Red Panda,Nagpur,Mangrove,monsoon,morning,Kanha National Park,Herbivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Red Panda,Bhopal,Thorn Forest,summer,night,Hemis National Park,Carnivore,Dense Trees,The only lion species found outside Africa.,No,
King Cobra,Bhopal,Tropical Rainforest,monsoon,night,Bandhavgarh National Park,Herbivore,Grasslands,Survives in extreme cold temperatures.,No,
Gaur,Bengaluru,Thorn Forest,summer,afternoon,Sundarbans,Herbivore,Burrows,Recognizable by its golden fur.,No,
Blackbuck,Jaipur,Mangrove,monsoon,night,Ranthambore National Park,Omnivore,Burrows,Has a beautifully patterned shell for camouflage.,No,Least Concern
One-Horned Rhinoceros,Delhi,Deciduous Forest,monsoon,morning,Kaziranga National Park,Herbivore,Dense Trees,"Can weigh up to 2,200 kg.",No,Near Threatened
Golden Langur,Dehradun,Deciduous Forest,winter,afternoon,Periyar Wildlife Sanctuary,Herbivore,Caves,"Can weigh up to 2,200 kg.",No,
Sloth Bear,Hyderabad,Mangrove,monsoon,night,Hemis National Park,Omnivore,Water Bodies,Has the strongest bite force among big cats.,No,Near Threatened
Sloth Bear,Mumbai,Deciduous Forest,monsoon,afternoon,Hemis National Park,Omnivore,Water Bodies,Largest species of wild cattle.,No,Near Threatened
Bengal Tiger,Bhopal,Deciduous Forest,monsoon,night,Kanha National Park,Omnivore,Caves,Can communicate using low-frequency rumbles.,No,
Golden Langur,Hyderabad,Himalayan Forest,winter,morning,Bandhavgarh National Park,Omnivore,Grasslands,The only lion species found outside Africa.,No,
Indian Cobra,Bengaluru,Thorn Forest,monsoon,morning,Gir Forest,Insectivore,Water Bodies,One of the world's most elusive animals.,No,
Bengal Tiger,Dehradun,Mangrove,monsoon,night,Jim Corbett National Park,Carnivore,Grasslands,Survives in extreme cold temperatures.,No,
Blackbuck,Pune,Deciduous Forest,monsoon,morning,Gir Forest,Carnivore,Burrows,Can run at speeds of up to 80 km/h.,No,Least Concern
Blackbuck,Guwahati,Deciduous Forest,monsoon,afternoon,Gir Forest,Herbivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,Least Concern
Asiatic Lion,Ranchi,Mangrove,monsoon,afternoon,Periyar Wildlife Sanctuary,Omnivore,Caves,Has a beautifully patterned shell for camouflage.,No,Critically Endangered
Blackbuck,Nagpur,Thorn Forest,summer,morning,Kaziranga National Park,Herbivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,Least Concern
Indian Elephant,Ranchi,Thorn Forest,monsoon,morning,Hemis National Park,Carnivore,Rocky Terrain,The only lion species found outside Africa.,No,
King Cobra,Ranchi,Thorn Forest,summer,morning,Kaziranga National Park,Omnivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,
Sloth Bear,Jaipur,Tropical Rainforest,monsoon,morning,Periyar Wildlife Sanctuary,Herbivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,Near Threatened
Indian Wolf,Chennai,Tropical Rainforest,winter,afternoon,Bandhavgarh National Park,Carnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
One-Horned Rhinoceros,Chennai,Himalayan Forest,monsoon,morning,Kanha National Park,Carnivore,Rocky Terrain,The longest venomous snake in the world.,No,Near Threatened
Blackbuck,Dehradun,Himalayan Forest,winter,morning,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,Least Concern
Indian Star Tortoise,Bhopal,Thorn Forest,monsoon,afternoon,Ranthambore National Park,Insectivore,Grasslands,One of the world's most elusive animals.,No,
Indian Leopard,Kolkata,Thorn Forest,monsoon,night,Gir Forest,Insectivore,Grasslands,The longest venomous snake in the world.,No,Near Threatened
King Cobra,Hyderabad,Thorn Forest,monsoon,morning,Sundarbans,Herbivore,Water Bodies,The longest venomous snake in the world.,No,
Bengal Tiger,Bengaluru,Mangrove,winter,night,Bandhavgarh National Park,Insectivore,Grasslands,Has a beautifully patterned shell for camouflage.,No,
King Cobra,Kolkata,Mangrove,monsoon,night,Jim Corbett National Park,Herbivore,Burrows,"Can weigh up to 2,200 kg.",No,
Red Panda,Mumbai,Tropical Rainforest,summer,morning,Kaziranga National Park,Insectivore,Water Bodies,Can run at speeds of up to 80 km/h.,No,
Gaur,Nagpur,Thorn Forest,monsoon,afternoon,Nagarhole National Park,Omnivore,Caves,Can leap over 20 feet in a single bound.,No,
Bengal Tiger,Nagpur,Deciduous Forest,winter,night,Ranthambore National Park,Insectivore,Grasslands,Can communicate using low-frequency rumbles.,No,
King Cobra,Dehradun,Thorn Forest,monsoon,morning,Kanha National Park,Carnivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Golden Langur,Mumbai,Mangrove,monsoon,night,Periyar Wildlife Sanctuary,Insectivore,Water Bodies,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Jaipur,Mangrove,winter,morning,Hemis National Park,Herbivore,Rocky Terrain,Largest species of wild cattle.,No,Near Threatened
Bengal Tiger,Kolkata,Mangrove,summer,night,Hemis National Park,Omnivore,Grasslands,Has a beautifully patterned shell for camouflage.,No,
King Cobra,Shimla,Tropical Rainforest,winter,night,Hemis National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,
Indian Leopard,Lucknow,Himalayan Forest,winter,night,Ranthambore National Park,Omnivore,Dense Trees,Has the strongest bite force among big cats.,No,Near Threatened
Bengal Tiger,Mumbai,Himalayan Forest,summer,night,Ranthambore National Park,Insectivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Red Panda,Mumbai,Tropical Rainforest,summer,morning,Kaziranga National Park,Omnivore,Caves,Its venom is neurotoxic and highly potent.,No,
Indian Star Tortoise,Bengaluru,Mangrove,monsoon,morning,Periyar Wildlife Sanctuary,Omnivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Snow Leopard,Nagpur,Tropical Rainforest,monsoon,morning,Ranthambore National Park,Insectivore,Grasslands,Has the strongest bite force among big cats.,No,
Indian Elephant,Dehradun,Himalayan Forest,monsoon,morning,Jim Corbett National Park,Carnivore,Burrows,Can communicate using low-frequency rumbles.,No,
Snow Leopard,Lucknow,Mangrove,winter,morning,Ranthambore National Park,Omnivore,Grasslands,"Can weigh up to 2,200 kg.",No,
Red Panda,Dehradun,Thorn Forest,monsoon,morning,Ranthambore National Park,Insectivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Indian Leopard,Mumbai,Mangrove,winter,night,Kanha National Park,Insectivore,Caves,Uses its long tongue to extract termites from nests.,No,Near Threatened
Indian Leopard,Shimla,Thorn Forest,summer,night,Kaziranga National Park,Herbivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Indian Star Tortoise,Lucknow,Thorn Forest,summer,afternoon,Ranthambore National Park,Carnivore,Water Bodies,One of the world's most elusive animals.,No,
Gaur,Guwahati,Deciduous Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Rocky Terrain,The longest venomous snake in the world.,No,
One-Horned Rhinoceros,Nagpur,Mangrove,monsoon,night,Sundarbans,Omnivore,Rocky Terrain,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Gaur,Pune,Tropical Rainforest,monsoon,night,Periyar Wildlife Sanctuary,Omnivore,Water Bodies,Largest species of wild cattle.,No,
Indian Cobra,Jaipur,Thorn Forest,winter,morning,Periyar Wildlife Sanctuary,Carnivore,Burrows,The only lion species found outside Africa.,No,
Indian Star Tortoise,Shimla,Tropical Rainforest,winter,night,Kanha National Park,Herbivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Red Panda,Guwahati,Himalayan Forest,monsoon,afternoon,Gir Forest,Insectivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
Blackbuck,Delhi,Himalayan Forest,monsoon,night,Jim Corbett National Park,Insectivore,Caves,The longest venomous snake in the world.,No,Least Concern
Indian Wolf,Chennai,Deciduous Forest,winter,morning,Bandhavgarh National Park,Omnivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Golden Langur,Bhopal,Thorn Forest,summer,night,Ranthambore National Park,Herbivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Indian Wolf,Dehradun,Thorn Forest,summer,morning,Sundarbans,Omnivore,Burrows,The longest venomous snake in the world.,No,
Indian Star Tortoise,Kolkata,Himalayan Forest,summer,morning,Kanha National Park,Omnivore,Burrows,Can communicate using low-frequency rumbles.,No,
Blackbuck,Jaipur,Deciduous Forest,monsoon,morning,Sundarbans,Carnivore,Grasslands,Has the strongest bite force among big cats.,No,Least Concern
Gaur,Hyderabad,Mangrove,winter,morning,Jim Corbett National Park,Herbivore,Caves,Has the strongest bite force among big cats.,No,
Indian Wolf,Nagpur,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Grasslands,Survives in extreme cold temperatures.,No,
Snow Leopard,Guwahati,Deciduous Forest,monsoon,morning,Nagarhole National Park,Insectivore,Caves,Survives in extreme cold temperatures.,No,
Indian Wolf,Bhopal,Himalayan Forest,summer,night,Periyar Wildlife Sanctuary,Omnivore,Water Bodies,The only lion species found outside Africa.,No,
Golden Langur,Delhi,Tropical Rainforest,winter,night,Jim Corbett National Park,Herbivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Indian Leopard,Bengaluru,Himalayan Forest,monsoon,night,Ranthambore National Park,Herbivore,Dense Trees,The only lion species found outside Africa.,No,Near Threatened
Asiatic Lion,Guwahati,Mangrove,summer,afternoon,Bandhavgarh National Park,Herbivore,Dense Trees,Largest species of wild cattle.,No,Critically Endangered
Indian Star Tortoise,Nagpur,Mangrove,winter,morning,Kaziranga National Park,Insectivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
King Cobra,Bengaluru,Thorn Forest,winter,night,Kaziranga National Park,Carnivore,Caves,Can communicate using low-frequency rumbles.,No,
Red Panda,Kolkata,Mangrove,monsoon,morning,Hemis National Park,Herbivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
Red Panda,Bhopal,Tropical Rainforest,winter,morning,Kaziranga National Park,Omnivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,
Blackbuck,Hyderabad,Mangrove,summer,afternoon,Kanha National Park,Insectivore,Caves,One of the world's most elusive animals.,No,Least Concern
Red Panda,Bhopal,Mangrove,winter,night,Periyar Wildlife Sanctuary,Herbivore,Water Bodies,Survives in extreme cold temperatures.,No,
Indian Leopard,Kolkata,Tropical Rainforest,monsoon,night,Bandhavgarh National Park,Omnivore,Dense Trees,Survives in extreme cold temperatures.,No,Near Threatened
Indian Wolf,Pune,Thorn Forest,monsoon,night,Kaziranga National Park,Herbivore,Burrows,Largest species of wild cattle.,No,
Blackbuck,Bengaluru,Mangrove,summer,night,Kaziranga National Park,Herbivore,Burrows,Uses its long tongue to extract termites from nests.,No,Least Concern
Sloth Bear,Mumbai,Deciduous Forest,monsoon,night,Jim Corbett National Park,Herbivore,Burrows,One of the world's most elusive animals.,No,Near Threatened
Indian Leopard,Ranchi,Deciduous Forest,summer,night,Kaziranga National Park,Insectivore,Burrows,Can leap over 20 feet in a single bound.,No,Near Threatened
Snow Leopard,Pune,Thorn Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Caves,Has a beautifully patterned shell for camouflage.,No,
King Cobra,Mumbai,Thorn Forest,winter,afternoon,Gir Forest,Herbivore,Caves,Can leap over 20 feet in a single bound.,No,
Indian Cobra,Bhopal,Himalayan Forest,monsoon,night,Bandhavgarh National Park,Insectivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
Sloth Bear,Guwahati,Mangrove,winter,morning,Ranthambore National Park,Herbivore,Caves,Survives in extreme cold temperatures.,No,Near Threatened
Golden Langur,Guwahati,Deciduous Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Omnivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
Indian Leopard,Bengaluru,Deciduous Forest,winter,night,Kaziranga National Park,Omnivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,Near Threatened
Indian Star Tortoise,Lucknow,Thorn Forest,winter,morning,Nagarhole National Park,Carnivore,Caves,Uses its long tongue to extract termites from nests.,No,
King Cobra,Jaipur,Mangrove,winter,afternoon,Kanha National Park,Insectivore,Caves,"Can weigh up to 2,200 kg.",No,
Snow Leopard,Delhi,Himalayan Forest,winter,morning,Bandhavgarh National Park,Insectivore,Rocky Terrain,Largest species of wild cattle.,No,
King Cobra,Guwahati,Thorn Forest,monsoon,afternoon,Kaziranga National Park,Herbivore,Caves,"Hunts in packs, similar to African wild dogs.",No,
Golden Langur,Pune,Tropical Rainforest,summer,afternoon,Ranthambore National Park,Herbivore,Burrows,Largest species of wild cattle.,No,
Golden Langur,Shimla,Deciduous Forest,winter,afternoon,Ranthambore National Park,Omnivore,Grasslands,The only lion species found outside Africa.,No,
Gaur,Jaipur,Himalayan Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Burrows,"Can weigh up to 2,200 kg.",No,
Sloth Bear,Nagpur,Mangrove,monsoon,night,Bandhavgarh National Park,Omnivore,Caves,Can run at speeds of up to 80 km/h.,No,Near Threatened
Asiatic Lion,Hyderabad,Thorn Forest,winter,afternoon,Kanha National Park,Herbivore,Dense Trees,"Can weigh up to 2,200 kg.",No,Critically Endangered
Indian Elephant,Guwahati,Thorn Forest,monsoon,night,Jim Corbett National Park,Carnivore,Caves,Its venom is neurotoxic and highly potent.,No,
Bengal Tiger,Guwahati,Tropical Rainforest,monsoon,night,Nagarhole National Park,Omnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Golden Langur,Bengaluru,Mangrove,winter,night,Sundarbans,Herbivore,Caves,One of the world's most elusive animals.,No,
Gaur,Chennai,Mangrove,monsoon,night,Kaziranga National Park,Carnivore,Caves,The longest venomous snake in the world.,No,
Indian Wolf,Guwahati,Himalayan Forest,monsoon,afternoon,Nagarhole National Park,Omnivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
Asiatic Lion,Bhopal,Himalayan Forest,winter,morning,Hemis National Park,Carnivore,Burrows,Can communicate using low-frequency rumbles.,No,Critically Endangered
Indian Leopard,Mumbai,Mangrove,monsoon,night,Kaziranga National Park,Omnivore,Burrows,Has the strongest bite force among big cats.,No,Near Threatened
Indian Star Tortoise,Pune,Thorn Forest,winter,night,Bandhavgarh National Park,Herbivore,Burrows,The longest venomous snake in the world.,No,
Blackbuck,Ranchi,Himalayan Forest,monsoon,night,Bandhavgarh National Park,Carnivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,Least Concern
Red Panda,Hyderabad,Thorn Forest,monsoon,afternoon,Sundarbans,Herbivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,
Blackbuck,Kolkata,Thorn Forest,monsoon,morning,Jim Corbett National Park,Omnivore,Dense Trees,The longest venomous snake in the world.,No,Least Concern
Indian Cobra,Jaipur,Himalayan Forest,monsoon,morning,Periyar Wildlife Sanctuary,Insectivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,
Golden Langur,Mumbai,Himalayan Forest,monsoon,morning,Ranthambore National Park,Insectivore,Caves,Largest species of wild cattle.,No,
King Cobra,Jaipur,Tropical Rainforest,monsoon,night,Kaziranga National Park,Omnivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,
Blackbuck,Guwahati,Deciduous Forest,winter,afternoon,Kanha National Park,Carnivore,Rocky Terrain,The only lion species found outside Africa.,No,Least Concern
Indian Elephant,Mumbai,Himalayan Forest,monsoon,night,Nagarhole National Park,Herbivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
Indian Star Tortoise,Chennai,Deciduous Forest,winter,night,Gir Forest,Omnivore,Dense Trees,One of the world's most elusive animals.,No,
One-Horned Rhinoceros,Shimla,Thorn Forest,summer,night,Periyar Wildlife Sanctuary,Omnivore,Grasslands,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Elephant,Dehradun,Himalayan Forest,summer,afternoon,Gir Forest,Carnivore,Grasslands,The only lion species found outside Africa.,No,
Asiatic Lion,Pune,Himalayan Forest,monsoon,night,Ranthambore National Park,Carnivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,Critically Endangered
Indian Elephant,Kolkata,Thorn Forest,monsoon,night,Kanha National Park,Omnivore,Burrows,Has the strongest bite force among big cats.,No,
Gaur,Kolkata,Deciduous Forest,monsoon,afternoon,Ranthambore National Park,Insectivore,Burrows,Uses its long tongue to extract termites from nests.,No,
Gaur,Ranchi,Tropical Rainforest,winter,morning,Ranthambore National Park,Omnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Golden Langur,Hyderabad,Tropical Rainforest,summer,afternoon,Kaziranga National Park,Omnivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Indian Cobra,Jaipur,Thorn Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Burrows,Can communicate using low-frequency rumbles.,No,
Indian Cobra,Lucknow,Himalayan Forest,summer,night,Gir Forest,Omnivore,Water Bodies,Can communicate using low-frequency rumbles.,No,
Sloth Bear,Guwahati,Himalayan Forest,monsoon,night,Nagarhole National Park,Insectivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Golden Langur,Hyderabad,Deciduous Forest,monsoon,morning,Gir Forest,Insectivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,
Red Panda,Chennai,Deciduous Forest,winter,afternoon,Gir Forest,Insectivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,
